year,state,state_ab,candidate,party,votes
1976,ALABAMA,AL,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,6669
1976,ALABAMA,AL,"CARTER, JIMMY",DEMOCRAT,659170
1976,ALABAMA,AL,"FORD, GERALD",REPUBLICAN,504070
1976,ALABAMA,AL,"HALL, GUS",COMMUNIST PARTY USE,1954
1976,ALABAMA,AL,"MACBRIDE, ROGER",LIBERTARIAN,1481
1976,ALABAMA,AL,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,9198
1976,ALASKA,AK,"CARTER, JIMMY",DEMOCRAT,44058
1976,ALASKA,AK,"FORD, GERALD",REPUBLICAN,71555
1976,ALASKA,AK,"MACBRIDE, ROGER",LIBERTARIAN,6785
1976,ARIZONA,AZ,"ANDERSON, THOMAS J.",AMERICAN,564
1976,ARIZONA,AZ,"CAMEJO, PETER",SOCIALIST WORKERS,928
1976,ARIZONA,AZ,"CARTER, JIMMY",DEMOCRAT,295602
1976,ARIZONA,AZ,"FORD, GERALD",REPUBLICAN,418642
1976,ARIZONA,AZ,"MACBRIDE, ROGER",LIBERTARIAN,7647
1976,ARIZONA,AZ,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,85
1976,ARIZONA,AZ,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,19229
1976,ARKANSAS,AR,"CARTER, JIMMY",DEMOCRAT,498604
1976,ARKANSAS,AR,"FORD, GERALD",REPUBLICAN,267903
1976,ARKANSAS,AR,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,389
1976,CALIFORNIA,CA,"CAMEJO, PETER",INDEPENDENT,17259
1976,CALIFORNIA,CA,"CARTER, JIMMY",DEMOCRAT,3742284
1976,CALIFORNIA,CA,"FORD, GERALD",REPUBLICAN,3882244
1976,CALIFORNIA,CA,"HALL, GUS",INDEPENDENT,12766
1976,CALIFORNIA,CA,"MACBRIDE, ROGER",INDEPENDENT,56388
1976,CALIFORNIA,CA,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,51098
1976,CALIFORNIA,CA,"WRIGHT, MARGARET",PEACE & FREEDOM,41731
1976,COLORADO,CO,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,2886
1976,COLORADO,CO,"CAMEJO, PETER",SOCIALIST WORKERS,1122
1976,COLORADO,CO,"CARTER, JIMMY",DEMOCRAT,460801
1976,COLORADO,CO,"FORD, GERALD",REPUBLICAN,584278
1976,COLORADO,CO,"HALL, GUS",COMMUNIST PARTY USE,403
1976,COLORADO,CO,"LAROUCHE, LYNDON, JR.",U.S. LABOR,565
1976,COLORADO,CO,"MACBRIDE, ROGER",LIBERTARIAN,5338
1976,COLORADO,CO,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,26047
1976,CONNECTICUT,CT,"CARTER, JIMMY",DEMOCRAT,647895
1976,CONNECTICUT,CT,"FORD, GERALD",REPUBLICAN,719261
1976,CONNECTICUT,CT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,1789
1976,CONNECTICUT,CT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,7101
1976,DELAWARE,DE,"ANDERSON, THOMAS J.",AMERICAN,645
1976,DELAWARE,DE,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,103
