Height (Inches),Height (cm),Weight (Pounds)
65.78331,167.0896074,112.9925
71.51521,181.6486334,136.4873
69.39874,176.2727996,153.0269
68.2166,173.270164,142.3354
67.78781,172.18103739999998,144.2971
68.69784,174.4925136,123.3024
69.80204,177.29718160000002,141.4947
70.01472,177.83738879999999,136.4623
67.90265,172.47273099999998,112.3723
66.78236,169.6271944,120.6672
66.48769,168.8787326,127.4516
67.62333,171.7632582,114.143
68.30248,173.4882992,125.6107
67.11656,170.47606240000002,122.4618
68.27967,173.4303618,116.0866
71.0916,180.572664,139.9975
66.461,168.81094,129.5023
68.64927,174.3691458,142.9733
71.23033,180.9250382,137.9025
67.13118,170.5131972,124.0449
67.83379,172.29782659999998,141.2807
68.87881,174.9521774,143.5392
63.48115,161.242121,97.90191
68.42187,173.79154979999998,129.5027
67.62804,171.7752216,141.8501
67.20864,170.7099456,129.7244
70.84235,179.939569,142.4235
67.49434,171.43562359999999,131.5502
66.53401,168.99638539999998,108.3324
65.44098,166.2200892,113.8922
69.5233,176.58918200000002,103.3016
65.8132,167.165528,120.7536
67.8163,172.253402,125.7886
70.59505,179.311427,136.2225
71.80484,182.3842936,140.1015
69.20613,175.7835702,128.7487
66.80368,169.6813472,141.7994
67.65893,171.8536822,121.2319
67.80701,172.2298054,131.3478
64.04535,162.675189,106.7115
68.57463,174.1795602,124.3598
65.18357,165.56626780000002,124.8591
69.65814,176.9316756,139.6711
67.96731,172.6369674,137.3696
65.98088,167.5914352,106.4499
68.67249,174.4281246,128.7639
66.88088,169.8774352,145.6837
67.69868,171.95464719999998,116.819
69.82117,177.3457718,143.6215
69.08817,175.48395180000003,134.9325
69.91479,177.58356659999998,147.0219
67.33182,171.02282279999997,126.3285
70.26939,178.4842506,125.4839
69.10344,175.52273760000003,115.7084
65.38356,166.0742424,123.4892
70.18447,178.2685538,147.8926
70.40617,178.8316718,155.8987
66.54376,169.0211504,128.0742
66.36418,168.56501720000003,119.3701
67.537,171.54398,133.8148
66.50418,168.9206172,128.7325
68.99958,175.2589332,137.5453
68.30355,173.491017,129.7604
67.01255,170.21187700000002,128.824
70.80592,179.8470368,135.3165
68.21951,173.2775554,109.6113
69.05914,175.4102156,142.4684
67.73103,172.0368162,132.749
67.21568,170.7278272,103.5275
67.36763,171.1137802,124.7299
65.27033,165.7866382,129.3137
70.84278,179.94066120000002,134.0175
69.92442,177.6080268,140.3969
64.28508,163.28410319999998,102.8351
68.2452,173.342808,128.5214
66.35708,168.5469832,120.2991
68.36275,173.641385,138.6036
65.4769,166.311326,132.9574
69.71947,177.0874538,115.6233
67.72554,172.0228716,122.524
68.63941,174.3441014,134.6254
66.78405,169.631487,121.8986
70.05147,177.93073379999998,155.3767
66.27848,168.3473392,128.9418
69.20198,175.77302920000002,129.1013
69.13481,175.6024174,139.4733
67.36436,171.10547440000002,140.8901
70.09297,178.0361438,131.5916
70.1766,178.248564,121.1232
68.22556,173.2929224,131.5127
68.12932,173.0484728,136.5479
70.24256,178.4161024,141.4896
71.48752,181.57830080000002,140.6104
69.20477,175.7801158,112.1413
70.06306,177.96017239999998,133.457
70.55703,179.21485619999999,131.8001
66.28644,168.3675576,120.0285
63.42577,161.1014558,123.0972
66.76711,169.5884594,128.1432
68.88741,174.9740214,115.4759
64.87434,164.78082360000002,102.0927
67.09272,170.4155088,130.353
68.34761,173.60292940000002,134.1842
65.61073,166.6512542,98.64133
67.75551,172.0989954,114.5599
68.0212,172.773848,123.4917
67.66193,171.8613022,123.048
66.3146,168.439084,126.4772
69.43706,176.37013240000002,128.417
63.83624,162.1440496,127.1941
67.72277,172.0158358,122.0562
70.05098,177.92948919999998,127.6064
70.18602,178.2724908,131.6423
65.94588,167.5025352,111.8955
70.007,177.81778000000003,122.039
68.61129,174.27267659999998,128.5547
68.80817,174.7727518,132.6792
69.76212,177.19578479999998,136.0632
65.45539,166.25669059999998,115.9403
68.82534,174.8163636,136.9041
65.8003,167.13276199999999,119.8804
67.21474,170.72543960000002,109.0055
69.42021,176.3273334,128.2705
68.94396,175.1176584,135.2913
67.9415,172.57141000000001,106.8558
65.62506,166.68765240000002,123.2939
66.49607,168.9000178,109.5143
67.92809,172.5373486,119.3087
68.89415,174.991141,140.2402
70.241,178.41214,133.9841
68.26623,173.39622419999998,132.5807
71.23161,180.9282894,130.6988
69.09747,175.50757380000002,115.5637
64.39693,163.5682022,123.7941
71.09585,180.583459,128.1427
68.21868,173.27544720000003,135.9646
65.91721,167.4297134,116.6273
67.4369,171.289726,126.8241
73.90107,187.70871780000002,151.3913
69.98149,177.7529846,130.4022
69.51862,176.5772948,136.2068
65.18437,165.5682998,113.3989
68.00869,172.7420726,125.3287
68.3384,173.579536,127.5846
65.18417,165.56779179999998,107.1564
68.26209,173.38570860000002,116.4588
68.56865,174.16437100000002,133.8402
64.49675,163.82174500000002,112.8901
68.71053,174.5247462,130.7568
68.89148,174.9843592,137.7571
69.54011,176.6318794,125.4036
67.39964,171.19508560000003,138.4659
66.47521,168.84703340000002,120.8184
66.01217,167.6709118,140.1539
72.44434,184.0086236,136.7397
64.12642,162.8811068,106.1139
70.98112,180.2920448,158.9562
67.50124,171.4531496,108.7868
72.01515,182.918481,138.7758
65.31143,165.8910322,115.9136
67.07509,170.3707286,146.2922
64.39148,163.5543592,109.8765
69.37003,176.1998762,139.0499
68.37921,173.6831934,119.9001
65.31018,165.8878572,128.3069
67.1369,170.527726,127.2428
68.39468,173.7224872,115.2306
66.2918,168.381172,124.7975
67.1866,170.653964,126.9511
65.99156,167.61856240000003,111.2711
69.43393,176.3621822,122.6089
67.97463,172.65556020000002,124.2084
67.76133,172.1137782,124.6453
65.27864,165.8077456,119.5169
73.83364,187.5374456,139.2983
66.81312,169.7053248,104.8265
66.89411,169.9110394,123.0424
65.73568,166.96862720000001,118.8923
65.98283,167.5963882,121.4939
66.58396,169.12325840000003,119.2488
67.11294,170.4668676,135.0239
65.87481,167.3220174,116.228
66.78067,169.6229018,109.1731
68.73577,174.5888558,124.2237
66.22666,168.2157164,141.1645
65.95968,167.53758720000002,129.1501
68.58372,174.2026488,127.8693
66.59347,169.14741379999998,120.9244
66.96574,170.0929796,127.6466
68.08015,172.923581,101.4693
70.19025,178.28323500000002,144.9927
65.52149,166.4245846,110.9523
67.45905,171.345987,132.8625
67.40985,171.221019,146.3385
69.66158,176.9404132,145.5894
65.79799,167.12689459999999,120.8431
66.10558,167.90817320000002,115.7813
68.23987,173.3292698,128.3019
68.02403,172.7810362,127.4718
71.39044,181.3317176,127.8761
65.7316,166.958264,121.4997
66.43358,168.74129320000003,112.7148
70.01309,177.83324860000002,135.002
69.48146,176.48290839999999,128.6789
68.62764,174.3142056,124.4062
68.36275,173.641385,140.026
68.39028,173.7113112,117.519
68.77413,174.6862902,143.8737
69.9236,177.605944,141.1703
71.55542,181.7507668,155.9414
68.44764,173.8570056,134.0093
66.71398,169.4535092,130.0975
66.68413,169.3776902,106.2265
67.93699,172.5599546,112.0489
68.89855,175.002317,136.1884
67.29191,170.9214514,131.236
69.57212,176.7131848,131.3231
67.67479,171.8939666,119.5261
69.04155,175.36553700000002,116.9965
67.96765,172.637831,138.5255
65.83982,167.23314280000002,109.6518
65.77288,167.0631152,130.1569
71.14106,180.69829239999999,137.1114
67.83055,172.28959700000001,113.759
65.0693,165.276022,114.9725
69.70745,177.05692299999998,127.7149
69.92983,177.6217682,121.9972
66.11569,167.9338526,117.9607
68.61364,174.2786456,127.7141
68.9976,175.253904,117.9619
66.79171,169.6509434,125.1554
68.02363,172.7800202,141.1026
69.67258,176.9683532,145.4822
71.82178,182.42732120000002,116.065
72.74676,184.77677039999998,135.7458
67.27951,170.88995540000002,132.9248
67.41015,171.221781,115.6622
68.5315,174.07001,114.3184
68.47126,173.9170004,148.952
68.51867,174.0374218,142.1878
63.72529,161.86223660000002,134.104
67.70483,171.9702682,141.8926
69.47115,176.456721,138.7444
66.70198,169.42302920000003,134.449
65.23126,165.68740040000003,117.0167
69.89473,177.53261419999998,115.6752
69.83048,177.36941919999998,134.7905
65.3979,166.110666,120.5746
68.32214,173.5382356,120.0835
65.93895,167.484933,84.3598
70.09805,178.049047,138.9394
66.05531,167.78048740000003,143.5245
68.23481,173.3164174,123.1347
65.21758,165.6526532,115.5261
69.16173,175.67079420000002,120.9844
67.60064,171.7056256,120.6473
67.28621,170.9069734,124.0352
66.84323,169.7818042,117.2238
68.08281,172.93033739999998,127.9598
66.56991,169.08757139999997,116.7527
70.16973,178.2311142,121.9957
67.85113,172.3418702,123.9952
66.62309,169.2226486,108.855
63.68816,161.76792640000002,104.6574
68.0356,172.810424,132.248
66.941,170.03014000000002,127.1834
66.26292,168.30781679999998,125.1209
70.7301,179.654454,133.322
70.70844,179.5994376,122.3364
73.26872,186.1025488,130.2636
63.79021,162.0271334,116.7431
67.84109,172.31636859999998,125.8534
67.78058,172.1626732,100.627
67.23901,170.7870854,118.4945
66.75701,169.56280539999997,137.1255
69.03098,175.3386892,118.6991
