id,loan_amnt,issue_d,term,int_rate,grade,sub_grade,emp_title,verification_status,home_ownership,annual_inc,loan_status,purpose,desc,addr_state,dti,fico_range_low,fico_range_high,hardship_flag,mths_since_last_delinq
17965023,18000.0,Jun-2014, 60 months,16.99,D,D3,sales,Source Verified,RENT,60000.0,Charged Off,debt_consolidation,,MN,23.22,700.0,704.0,N,72.0
111414087,10000.0,Jun-2017, 36 months,16.02,C,C5,mechanic,Source Verified,OWN,50000.0,Current,home_improvement,,IL,6.14,680.0,684.0,N,6.0
95219557,12800.0,Dec-2016, 36 months,7.99,A,A5,general manager,Not Verified,MORTGAGE,47500.0,Fully Paid,debt_consolidation,,MO,12.89,705.0,709.0,N,66.0
142831837,16000.0,Oct-2018, 60 months,23.4,E,E1,nurse,Source Verified,MORTGAGE,120000.0,Current,home_improvement,,FL,5.66,670.0,674.0,N,
140113255,40000.0,Sep-2018, 60 months,7.84,A,A4,staff pharmacist,Verified,MORTGAGE,150000.0,Current,debt_consolidation,,MN,12.24,735.0,739.0,N,
136358280,6500.0,Jul-2018, 36 months,7.84,A,A4,office associate,Verified,RENT,26469.38,Current,credit_card,,OR,39.46,680.0,684.0,N,45.0
15449790,15000.0,Apr-2014, 36 months,7.9,A,A4,driver / hand floor,Verified,RENT,55000.0,Fully Paid,debt_consolidation,,TX,3.75,670.0,674.0,N,34.0
117841160,8400.0,Sep-2017, 36 months,9.44,B,B1,social worker,Source Verified,MORTGAGE,45500.0,Current,debt_consolidation,,NC,24.87,765.0,769.0,N,
34894028,13200.0,Nov-2014, 60 months,11.44,B,B4,financial analyst,Not Verified,MORTGAGE,70000.0,Fully Paid,debt_consolidation,,MN,12.5,700.0,704.0,N,44.0
125085303,15000.0,Nov-2017, 36 months,10.91,B,B4,sales engineer 3,Not Verified,RENT,91000.0,Current,debt_consolidation,,GA,7.71,660.0,664.0,N,79.0
118633607,10000.0,Sep-2017, 36 months,9.93,B,B2,security supervisor,Not Verified,RENT,36000.0,Current,debt_consolidation,,DC,35.36,730.0,734.0,N,
22423130,5825.0,Jul-2014, 36 months,7.69,A,A4,instructional coach,Not Verified,MORTGAGE,55000.0,Fully Paid,credit_card,,NV,3.3,710.0,714.0,N,27.0
121753057,15000.0,Oct-2017, 36 months,5.32,A,A1,regional sales director,Not Verified,RENT,95000.0,Current,debt_consolidation,,NV,14.35,715.0,719.0,N,55.0
88004117,35000.0,Aug-2016, 36 months,10.49,B,B3,cfo,Verified,MORTGAGE,120000.0,Current,credit_card,,IL,14.03,660.0,664.0,N,79.0
58623934,6025.0,Aug-2015, 36 months,9.99,B,B3,private carrier agent,Not Verified,MORTGAGE,71000.0,Fully Paid,debt_consolidation,,MA,10.29,670.0,674.0,N,9.0
73905116,12000.0,Mar-2016, 36 months,9.75,B,B3,stylist,Source Verified,RENT,45000.0,Fully Paid,credit_card,,CA,24.48,685.0,689.0,N,
63429310,10000.0,Nov-2015, 36 months,6.24,A,A2,retail sales representative ,Source Verified,RENT,45000.0,Fully Paid,debt_consolidation,,CA,16.91,690.0,694.0,N,51.0
26178534,35000.0,Sep-2014, 36 months,12.99,C,C1,captain/pilot,Verified,MORTGAGE,240000.0,Fully Paid,debt_consolidation,,AR,12.61,690.0,694.0,N,
144442273,16500.0,Dec-2018, 60 months,12.98,B,B5,nurse,Source Verified,MORTGAGE,98000.0,Current,debt_consolidation,,NJ,20.36,780.0,784.0,N,
41129493,11200.0,Feb-2015, 60 months,13.33,C,C3,customer service representative,Verified,MORTGAGE,45000.0,Late (31-120 days),debt_consolidation,,NC,22.48,660.0,664.0,N,42.0
73540937,18000.0,Mar-2016, 36 months,7.89,A,A5,technical writer ii,Not Verified,MORTGAGE,79000.0,Fully Paid,debt_consolidation,,MN,13.93,710.0,714.0,N,
66666887,16800.0,Dec-2015, 60 months,14.48,C,C5,avp - product pricing manager,Verified,RENT,73185.0,Late (16-30 days),credit_card,,IL,29.73,680.0,684.0,N,
71796577,17500.0,Feb-2016, 36 months,11.99,C,C1,office manager ,Verified,RENT,45500.0,Fully Paid,debt_consolidation,,NY,19.16,665.0,669.0,N,2.0
130242009,16000.0,Mar-2018, 60 months,15.04,C,C4,registered nurse,Source Verified,MORTGAGE,72000.0,Current,debt_consolidation,,GA,36.67,685.0,689.0,N,67.0
48061466,33500.0,May-2015, 36 months,6.92,A,A4,senior analyst,Verified,MORTGAGE,83000.0,Fully Paid,debt_consolidation,,AL,22.82,740.0,744.0,N,
77336194,7600.0,Apr-2016, 36 months,5.32,A,A1,program director,Not Verified,OWN,50000.0,Fully Paid,credit_card,,NC,12.05,740.0,744.0,N,34.0
46428024,16000.0,Apr-2015, 60 months,12.29,C,C1,workers comp examiner,Not Verified,MORTGAGE,40253.0,Current,car,,AL,23.43,685.0,689.0,N,
116926801,35000.0,Aug-2017, 36 months,13.59,C,C2,ceo,Verified,RENT,120000.0,Current,small_business,,FL,8.87,715.0,719.0,N,
55190299,17000.0,Jul-2015, 36 months,5.32,A,A1,computer specialist,Source Verified,RENT,75000.0,Fully Paid,debt_consolidation,,NY,14.85,750.0,754.0,N,43.0
68845026,20000.0,Jan-2016, 36 months,8.49,B,B1,whnp,Not Verified,OWN,88000.0,Charged Off,credit_card,,TX,34.45,705.0,709.0,N,1.0
1682481,12000.0,Nov-2012, 36 months,15.31,C,C2,archbell signs inc,Not Verified,RENT,41500.0,Charged Off,debt_consolidation,  Borrower added on 11/01/12 > debit consoildation<br>,VA,16.34,670.0,674.0,N,
140485989,16000.0,Sep-2018, 60 months,18.94,D,D2,clinical nurse manager,Source Verified,MORTGAGE,98000.0,In Grace Period,credit_card,,GA,28.02,695.0,699.0,N,
141185935,20000.0,Oct-2018, 36 months,10.47,B,B2,registered nurse,Verified,OWN,47605.0,Current,other,,NC,31.86,665.0,669.0,N,
60842141,15000.0,Oct-2015, 36 months,10.99,B,B4,assistant engineer,Not Verified,RENT,58000.0,Fully Paid,debt_consolidation,,CA,29.16,715.0,719.0,N,
28342515,6000.0,Oct-2014, 36 months,16.29,D,D2,sugar specialist,Verified,RENT,41000.0,Charged Off,debt_consolidation,,MI,21.11,670.0,674.0,N,
143365202,30000.0,Nov-2018, 60 months,20.89,D,D4,graphics designer/ ui developer,Source Verified,RENT,80000.0,Current,credit_card,,CA,29.34,700.0,704.0,N,17.0
96103162,5400.0,Dec-2016, 36 months,11.49,B,B5,pipe fitter ,Source Verified,RENT,60000.0,Current,major_purchase,,IN,10.74,685.0,689.0,N,22.0
11886650,18450.0,Feb-2014, 36 months,14.16,C,C2,applications engineer,Verified,MORTGAGE,56000.0,Fully Paid,debt_consolidation,  Borrower added on 02/20/14 > Dept/Credit Consolidation Loan<br>,TX,29.94,685.0,689.0,N,
24084666,10500.0,Aug-2014, 60 months,15.61,D,D1,associate wealth management advisor,Source Verified,RENT,75000.0,Fully Paid,debt_consolidation,,NC,11.98,665.0,669.0,N,31.0
42571196,8000.0,Apr-2015, 36 months,10.99,B,B4,head cook and pt custodian,Source Verified,MORTGAGE,31000.0,Fully Paid,debt_consolidation,,PA,28.61,735.0,739.0,N,53.0
132698164,9000.0,May-2018, 36 months,19.42,D,D3,insulator,Source Verified,MORTGAGE,95000.0,Current,debt_consolidation,,IL,21.53,660.0,664.0,N,31.0
113846032,15000.0,Jul-2017, 36 months,5.32,A,A1,senior network engineer,Not Verified,RENT,256000.0,Charged Off,debt_consolidation,,GA,2.83,750.0,754.0,N,
88222005,6000.0,Sep-2016, 36 months,13.99,C,C3,bus operator,Not Verified,MORTGAGE,89000.0,Fully Paid,debt_consolidation,,NJ,10.95,715.0,719.0,N,21.0
120150925,30000.0,Oct-2017, 36 months,5.32,A,A1,managing director,Source Verified,MORTGAGE,225000.0,Fully Paid,debt_consolidation,,CA,17.37,765.0,769.0,N,77.0
32279824,1800.0,Oct-2014, 36 months,13.98,C,C3,journalist,Not Verified,RENT,39000.0,Fully Paid,debt_consolidation,,SC,34.43,685.0,689.0,N,57.0
46346195,19000.0,Apr-2015, 36 months,6.68,A,A3,licensed banker,Not Verified,MORTGAGE,50000.0,Fully Paid,debt_consolidation,,NH,14.11,720.0,724.0,N,
