date,day,home_departure_time,home_departure_mileage,work_arrival_time,work_arrival_mileage,comments_from_home_to_work,work_departure_time,work_departure_mileage,home_arrival_time,home_arrival_mileage,comments_from_work_to_home,minutes,departure_hour,mileage_to_work,minutes_to_home,work_departure_time_hr,mileage_to_home
5/15/2023,Mon,2023-05-15 10:49:00,15873.0,2023-05-15 11:57:00,15926.0,stopped for coffee,2023-05-15 17:10:00,15926.0,2023-05-15 18:22:00,15979.0,,68.00000000000001,10.816666666666666,53.0,72.0,17.166666666666668,53.0
5/16/2023,Tue,2023-05-16 07:45:00,15979.0,2023-05-16 09:19:00,16033.0,stopped for gas by exit 10 of state route 16,,,,,,94.0,7.75,54.0,,,
5/22/2023,Mon,2023-05-22 08:27:00,50407.0,2023-05-22 09:30:00,50461.0,,2023-05-22 15:54:00,50461.0,2023-05-22 17:16:00,50515.0,,63.00000000000001,8.450000000000001,54.0,82.0,15.9,54.0
5/23/2023,Tue,2023-05-23 07:08:00,50535.0,2023-05-23 08:48:00,50589.0,,,,,,,100.0,7.133333333333334,54.0,,,
5/30/2023,Tue,2023-05-30 09:09:00,50664.0,2023-05-30 10:18:00,50718.0,"South Gate did not open, drove around to North Gate",2023-05-30 17:07:00,50718.0,2023-05-30 18:23:00,50772.0,,69.0,9.15,54.0,76.0,17.116666666666667,54.0
6/14/2023,Wed,2023-06-14 08:10:00,51522.0,2023-06-14 09:24:00,51580.0,,2023-06-14 16:56:00,51580.0,2023-06-14 18:41:00,51635.0,stopped for gas by exit 152,74.0,8.166666666666668,58.0,105.0,16.933333333333337,55.0
6/19/2023,Mon,2023-06-19 09:12:00,51730.0,2023-06-19 10:13:00,51784.0,,2023-06-19 17:11:00,51786.0,2023-06-19 18:21:00,51840.0,,61.00000000000001,9.2,54.0,70.0,17.183333333333337,54.0
6/20/2023,Tue,2023-06-20 06:03:00,51840.0,2023-06-20 08:17:00,51912.0,ferry was full 13 minutes before scheduled launch; rainy weather,,,,,,134.00000000000003,6.05,72.0,,,
6/26/2023,Mon,2023-06-26 08:13:00,51988.0,2023-06-26 09:15:00,52042.0,,2023-06-26 16:09:00,52048.0,2023-06-26 17:41:00,52107.0,,62.00000000000001,8.216666666666669,54.0,92.0,16.15,59.0
6/27/2023,Tue,2023-06-27 09:17:00,19029.0,2023-06-27 10:24:00,19082.0,,2023-06-27 17:42:00,19082.0,2023-06-27 18:59:00,19136.0,,67.00000000000001,9.283333333333333,53.0,77.0,17.700000000000003,54.0
7/6/2023,Thu,2023-07-06 08:02:00,52202.0,2023-07-06 09:18:00,52256.0,,,,,,,76.0,8.033333333333333,54.0,,,
7/11/2023,Tue,2023-07-11 09:31:00,52405.0,2023-07-11 10:38:00,52459.0,,,,,,,67.00000000000001,9.516666666666667,54.0,,,
7/17/2023,Mon,2023-07-17 07:58:00,52633.0,2023-07-17 09:11:00,52687.0,stopped for gas at 302 and Wright-Bliss intersection,,,,,,73.0,7.966666666666667,54.0,,,
7/25/2023,Tue,2023-07-25 09:53:00,22064.0,2023-07-25 10:57:00,22118.0,,2023-07-25 18:03:00,22118.0,2023-07-25 19:17:00,22173.0,,64.00000000000001,9.883333333333333,54.0,74.0,18.05,55.0
8/1/2023,Tue,2023-08-01 07:54:00,53188.0,2023-08-01 09:11:00,53242.0,,,,,,,77.0,7.9,54.0,,,
8/28/2023,Mon,2023-08-28 07:51:00,24774.0,2023-08-28 08:56:00,24827.0,,2023-08-28 16:12:00,24827.0,2023-08-28 17:35:00,24880.0,,65.00000000000001,7.85,53.0,83.0,16.2,53.0
8/29/2023,Tue,2023-08-29 07:56:00,24911.0,2023-08-29 09:14:00,24964.0,,2023-08-29 16:53:00,24964.0,2023-08-29 18:15:00,25017.0,rainy weather,78.0,7.933333333333334,53.0,82.0,16.883333333333336,53.0
9/18/2023,Mon,2023-09-18 07:57:00,54149.0,2023-09-18 09:12:00,54202.0,,2023-09-18 16:44:00,54202.0,2023-09-18 17:59:00,54256.0,,75.0,7.95,53.0,75.0,16.733333333333334,54.0
9/19/2023,Tue,2023-09-19 08:33:00,27007.0,2023-09-19 09:48:00,27060.0,,2023-09-19 16:25:00,27060.0,2023-09-19 17:50:00,27113.0,,75.0,8.55,53.0,85.0,16.416666666666668,53.0
9/21/2023,Thu,2023-09-21 08:26:00,54256.0,2023-09-21 09:41:00,54309.0,,,,,,,75.0,8.433333333333334,53.0,,,
10/2/2023,Mon,2023-10-02 09:45:00,28088.0,2023-10-02 10:45:00,28141.0,,,,,,,60.0,9.75,53.0,,,
10/9/2023,Mon,2023-10-09 08:37:00,54992.0,2023-10-09 09:40:00,55045.0,lighter traffic due to Columbus Day,2023-10-09 17:19:00,55045.0,2023-10-09 18:40:00,55099.0,got gas on 302 near 94th Ave NW,63.00000000000001,8.616666666666667,53.0,81.0,17.31666666666667,54.0
10/12/2023,Thu,2023-10-12 08:28:00,55194.0,2023-10-12 09:40:00,55247.0,,2023-10-12 18:01:00,55247.0,2023-10-12 19:10:00,55301.0,,72.0,8.466666666666669,53.0,69.0,18.01666666666667,54.0
10/17/2023,Tue,2023-10-17 10:28:00,55378.0,2023-10-17 11:27:00,55431.0,,2023-10-17 17:39:00,55431.0,2023-10-17 19:05:00,55487.0,got gas by exit 137,59.0,10.466666666666667,53.0,86.0,17.650000000000002,56.0
10/30/2023,Mon,2023-10-30 08:14:00,55704.0,2023-10-30 09:18:00,55757.0,,,,,,,64.00000000000001,8.233333333333334,53.0,,,
10/31/2023,Tue,2023-10-31 08:29:00,55815.0,2023-10-31 09:41:00,55868.0,got gas on 302 near 94th Ave NW,2023-10-31 17:03:00,55868.0,2023-10-31 18:42:00,55922.0,,72.0,8.483333333333334,53.0,99.0,17.05,54.0
11/1/2023,Wed,2023-11-01 07:58:00,55922.0,2023-11-01 09:10:00,55976.0,,,,,,,72.0,7.966666666666667,54.0,,,
11/2/2023,Thu,2023-11-02 08:15:00,56047.0,2023-11-02 09:41:00,56100.0,,,,,,,86.0,8.250000000000002,53.0,,,
11/3/2023,Fri,2023-11-03 07:50:00,56154.0,2023-11-03 08:56:00,56208.0,got gas on 302 near 94th Ave NW,2023-11-03 16:56:00,56208.0,2023-11-03 18:18:00,56261.0,,66.00000000000001,7.833333333333333,54.0,82.0,16.933333333333337,53.0
