,airline,author,date,content,cabin,overall
0,klm-royal-dutch-airlines,A Sahni,2015-07-24,"KLM Business Class from Barcelona via AMS to DFW. Early morning flight started with KLM from Barcelona at 7.00am, Boarding was simple with two lines one for Business class other for economy. Once on the plane and departed morning service began with breakfast followed by coffee and juices. Food good and fresh compared to US carriers where the breakfast is usual not good. Amsterdam airport great undergoing a renovation at some parts. Lounge massive with two food area's and a huge selection of food for breakfast with good selection of liquor, and beer if wanted and coffee/soda/juices. KLM flight from AMS to DFW on the Airbus 330-200 seat old business class seats but the recline was enough for a day flight to DFW of nine hours. Service onboard was great food much better compared to US carriers along with dessert though KLM lacks in drinks offers with a limited selection of mainly wine and beer. Overall KLM has really good service in Business class, and once the A330 aircraft get the new business class seat the product offered will on par with others.",Business,8
1,hawaiian-airlines,Peter Pomeranze,2015-07-27,"Flying Hawaiians seasonal non stop was a pleasure. Comfortable seating, warm service and good food were the highlights of a pleasant comfortable experience. Nothing to add but a hearty recommendation. I actually prefer the older 767s over the newer A330's. Even the luggage was delivered in a timely manner.",First,8
2,tap-portugal,David Olvierk,2015-07-21," I fly up to Lisbon on a near weekly basis generally on  Lufthansa. When there are no seats left I'm force to book with TAP. I'm continuously disappointed and frustrated with TAP, last year I missed my wedding anniversary dinner when I took the mid-afternoon flight home. At Lisbon and with 10 minutes to go before scheduled boarding were suddenly told there was a 6 hour delay! If they'd told us earlier I'd have got another airline and made the dinner. When I wrote a constructive letter to TAP the Costumer service replied saying she was unable to 'communicate' reasons for delays. Second attempt, an automatic reply, until today no one reply on a proper way to my complain. Once again I was forced to fly TAP for the first time in a year and I got a 2 hours delayed flight, this is shocking. Once again why or why are they so dreadfully poor on punctuality! The snack they offered on board was worst since last time. Shocking airline which does not seem to be improving. By the way in 3 years on Lufthansa I have been delayed once for 20 minutes.",Economy,1
3,spirit-airlines,Narges Noori,2015-06-22,I've been using Spirit for 2years because my husband lives in Chicago and I am a student in Minneapolis. At the beginning Spirit airlines had the best prices: $60 roundtrip and they were usually on time. For about 4 month their prices went up (more than other airlines). Worse than that is the fact they frequently cancel their flight with the excuse that the weather is not good but no other airlines cancel their flight! This is the last time I used them. I feel bad because I think they are assuming that the consumers are stupid. ,Economy,1
4,precision,Joe Rossi,2015-07-17,"Dar Es Salaam to Arusha. One day delay, landing to wrong airport, no taxi or bus paid to go to the planned airport, no baggage (still at Dar Es Salaam). No information from staff, and at leasst 2 days safari have been lost without any compensation. Same problem with the return from Arusha to Zanzibar : another airport to take off, no buses, compensation etc. Fly with this company at your own risk !",Economy,1
5,klm-royal-dutch-airlines,Jeff Evans,2015-07-13,"A mixed performance by KLM. Arrived at Heathrow for a connecting flight to Amsterdam. Although checked in, there were clearly inadequate number of check in staff at Heathrow - just three dealing with KLM and Air France flights. A lot of passengers were travelling in groups and had a lot of luggage. The queuing times were excessive - was just glad I arrived early. Others had to jump the queue because their flights were due to depart in 30 minutes. The aircraft left late and there were operational problems with loading luggage at Heathrow. This meant the connection time at Amsterdam was very tight. However, it was a different story between Amsterdam and Tokyo with an excellent crew, One stewardess, in particular, went out of her way to provide me with refreshments throughout the flight - and this was economy!",Economy,7
6,thomas-cook-airlines,Sian Booth,2015-07-21,Just would like to say that myself and family (four adults) flew with Thomas Cook premium economy from Manchester to New York and back. I think it was excellent value for money. Staff were all very friendly and extremely helpful. The food was excellent and there was a good choice of films. Blankets and pillows provided - great for night flight. ,Economy,10
7,tam-airlines,A Barros,2015-07-14,"Flight JJ8020 from Rio de Janeiro to Santiago. To call it a business class is a gross exaggeration. To begin with, with a flight departure at 07.04am, the lounge was not open until 06.15 when they began boarding for the flight. On board, no welcome drink, a broken seat (luckily the seat next to mine was available, so I could move) and a cabin crew that were more interested to talk to each other than to welcome boarding passengers. After take-off, again the cabin crew spent most of their time closing the curtain between the business class and the galley. Breakfast was reasonable and had a choice of a platter of cold cuts and a hot omelette. After that, no more spontaneous drink service for a 4.5 hour flight. Selection of the press very poor and no individual entertainment system. The aircraft was old and looked and felt old. Very indifferent service.",Business,2
8,kuwait-airways,Sreekanth nallamalli,2015-06-14,"The flight was good but was outdated, the entertainment system was not working in some seats. The food was great and the crew friendly. It was good value for money.",Economy,7
9,alitalia,Lindsay Eandres,2015-06-26,"The cabin was staffed with quite a few FAs and we were told that the F&B manager was on board making sure that the service was up to standard for their new something or other ... it was a long spiel. Cabin seemed new, leather and seats reclined nearly but not completely flat. Food was a disaster and my expectations had been raised by the greeting. I ordered the veal (a mistake) and it was tough as I expected but the sauce that was on it was so salty that it was inedible. My traveling partner did not eat as he was asleep. When I asked for something else, I was told that only pre-made cheese plates were left and they all have blue cheese on them to which I am allergic. After that, it seemed that everyone was busy and no beverages or anything else was offered for the remaining four hours of the flight. When the plane was landing, I was asked for feedback and I said that I was hungry since they had no other food. The FA said they did have more food, and offered me something but at that point the trays had to be stowed, etc. I am not sure why this was handled so poorly, I was polite and understand that the crew does not make the food. Even some bread or any other option would have been appreciated and since the person I traveled with did not eat and some seats were empty, it seems odd that they thought they ran out of all other food options.",Business,1
10,american-airlines,Roger Hanson,2015-07-06,"Flight cancelled from JFK to Cancun. I have had mobile app downloaded from American Airline's website that told me all the time the flight was on schedule. Arrived at airport to see on the boards that flight cancelled. Directed to counters to deal with and maybe try and book next flight. No apology, staff were unhelpful and counter staff downright ""offish"" to the situation. I was even told the mobile app doesn't communicate with flight counter so its information can be incorrect. So the question is what's the point of the app if doesn't provide up-to-date info. Flight booked for next day. So we incurred cost of overnight near JFK and incurred cost of night at destination. No offer to assist with accommodation for overnight caused by the cancellation. We were made to feel as if we as the customer was an intrusion to the non-operation of this flight. I lost my confidence with the airline, and return flight from Cancun to Dallas, the flight was delayed by almost three hours. So we had cancelled flight, then our scheduled return flight to connect with another international flight was delayed by hours.",Economy,1
11,emirates,A Lee,2015-07-02,"While I did get my value for money, I wouldn't consider flying Emirates again. Ground service at Sydney airport was ok. Check-in was quick and smooth. However, at the gate staff were generally unfriendly and quick to dismiss people. The person managing the gate seemed tired and angry at customers. The plane was clean and quite spacious. The seats were comfortable and the inflight entertainment was very good. There was a very large selection of entertainment. However, the flight was significantly let down by the crew. When boarding, the flight attendant at the door sent me down the wrong aisle. When serving the hot towels, the flight attendant literally threw a towel at me. During the meal service, the flight attendant gave me the wrong order. Instead, she gave me my seatmate's order (and gave my seatmate my order). Additionally during the drinks service, the flight attendant seem bothered when I asked what tea they were offering. Ultimately I thought the crew were inexperienced, tired and annoyed. This was my first flight with Emirates, and it unfortunately has given me a bad impressions of the airline.",Economy,5
12,qatar-airways,Brian McCaig,2015-07-13,"A few years ago, I took advantage of a special offer from London with Qatar Airways in economy class, and was impressed with the standards of service then. Now that they fly from Edinburgh, I decided to give them another try, and I wasn't disappointed. From the minute we arrived at check-in, we were made to feel welcome. Similarly at boarding, the staff were attentive and wishing people a pleasant flight. On board the Dreamliner, the business cabin is superb. Each lie-flat seat is positioned so that it's like a little personal oasis, and is comfortable, fully adjustable, and with lots of little cubby-holes for your bits and pieces. You're also supplied with rather good noise-cancelling headphones, and an Armani amenity kit. These are waiting for you when you arrive, and they have different packs for male and female passengers. Pre take-off drinks are also served. The service on-board is impeccable - there's one flight attendant for four passengers, and the food is excellent. The menu is extensive and you can choose any items, as and when you please. The plane itself was smooth and quiet, and the attendants ensured that the toilets were always clean and well stocked. Despite a short 45 minute connection time, I was impressed by the new Hamad International airport, where we were whisked through security for our ongoing connection. I would thoroughly recommend Qatar Airways and it will be my airline of choice for future trips, even though Glasgow airport is more convenient for me.",Business,10
13,sas-scandinavian-airlines,Johan Johnsson,2015-06-26,"I was pleasantly surprised by the refurbished cabin. Changed from a 2-2-2 seat configuration in Business class to a 1-2-1 configuration, SAS has taken a huge leap forward in terms of the product for premium passengers. Seats now full flat, all with aisle access. Excellent service with a great variety of food. Breakfast had a very good choice of options. The new cabin lighting offers a special feeling. Free wifi works but can be slow sometimes. When all their long haul fleet is renovated (at present A330's have been refurbished) SAS will offer a very competitive product on their intercontinental routes. ",Business,10
14,bangkok-airways,Nuti Damrongphatr,2015-07-01,"Check in very quick with no queue. Business Class lounge I am eligible to use is recently renovated and very comfortable, lots of food (including hot food and light snack) and drinks. Onboard with friendly flight attendants, tasty hot snack served with juice and coffee/ tea. The aircraft looks a bit old, but the seat is new slimline version and give a decent seat pitch. Although it is not really comfortable ergonomic-wise, extra space provided is appreciated. Returning on PG-278, lounge in Phuket is too crowded and too warm, same aircraft as the outbound flight, light dinner is served and it is really enjoyable, both in taste and portion. Their staffs are good as always.",Economy,9
